,QQQ,QLD
2006-06-19,755.737,192.59
2006-06-20,756.73,192.409
2006-06-21,768.654,198.652
2006-06-22,758.916,193.814
2006-06-23,758.121,193.347
2006-06-26,760.109,194.062
2006-06-27,745.801,186.805
2006-06-28,751.365,189.086
2006-06-29,774.218,200.521
2006-06-30,770.442,198.597
2006-07-03,775.013,200.906
2006-07-05,758.121,192.99
2006-07-06,757.326,191.863
2006-07-07,748.98,187.657
2006-07-10,742.422,184.551
2006-07-11,747.987,187.575
2006-07-12,733.877,180.153
2006-07-13,721.557,174.408
2006-07-14,714.204,170.835
2006-07-17,715.992,171.659
2006-07-18,718.377,172.621
2006-07-19,727.717,176.36
2006-07-20,716.986,171.549
2006-07-21,709.435,167.674
2006-07-24,723.544,173.858
2006-07-25,727.717,175.563
2006-07-26,727.121,175.92
2006-07-27,722.352,174.133
2006-07-28,737.454,181.088
2006-07-31,737.256,180.73
2006-08-01,724.935,174.546
2006-08-02,733.082,177.762
2006-08-03,737.653,180.73
2006-08-04,734.275,179.081
2006-08-07,729.505,176.909
2006-08-08,724.935,174.683
2006-08-09,725.929,174.601
2006-08-10,731.095,176.827
2006-08-11,725.929,175.095
2006-08-14,730.698,176.69
2006-08-15,749.179,185.898
2006-08-16,766.666,194.749
2006-08-17,769.647,195.986
2006-08-18,770.84,195.711
2006-08-21,763.487,192.138
2006-08-22,763.686,192.632
2006-08-23,757.923,189.389
2006-08-24,760.109,190.846
2006-08-25,761.5,191.588
2006-08-28,767.263,194.337
2006-08-29,769.647,195.573
2006-08-30,773.224,197.305
2006-08-31,772.429,197.085
2006-09-01,776.602,198.872
2006-09-05,784.154,202.445
2006-09-06,768.455,194.556
2006-09-07,764.677,192.825
2006-09-08,769.449,194.749
2006-09-11,774.218,197.36
2006-09-12,788.526,205.029
2006-09-13,794.09,207.393
2006-09-14,794.686,207.173
2006-09-15,797.537,209.18
2006-09-18,797.539,209.015
2006-09-19,792.368,206.486
2006-09-20,803.9,212.616
2006-09-21,798.929,209.867
2006-09-22,792.765,206.239
2006-09-25,806.684,213.853
2006-09-26,810.661,215.612
2006-09-27,809.666,214.512
2006-09-28,811.854,215.777
2006-09-29,808.275,214.128
2006-10-02,798.134,208.905
2006-10-03,801.514,210.389
2006-10-04,821.199,220.037
2006-10-05,825.176,222.924
2006-10-06,823.386,221.687
2006-10-09,826.17,222.786
2006-10-10,827.562,224.023
2006-10-11,825.971,223.198
2006-10-12,839.691,230.62
2006-10-13,843.668,232.379
2006-10-16,844.065,232.819
2006-10-17,835.118,228.284
2006-10-18,831.141,225.123
2006-10-19,833.129,227.047
2006-10-20,835.118,227.596
2006-10-23,843.668,231.665
2006-10-24,837.703,229.466
2006-10-25,843.668,232.269
2006-10-26,851.422,235.98
2006-10-27,839.293,229.301
2006-10-30,844.662,231.994
2006-10-31,846.65,233.369
2006-11-01,835.118,227.047
2006-11-02,835.913,227.267
2006-11-03,833.726,225.947
2006-11-06,845.855,231.032
2006-11-07,851.621,235.705
2006-11-08,855.598,238.894
2006-11-09,851.025,235.568
2006-11-10,855.598,238.179
2006-11-13,864.148,242.027
2006-11-14,873.493,248.212
2006-11-15,877.072,249.779
2006-11-16,880.85,252.335
2006-11-17,880.85,251.785
2006-11-20,882.64,252.747
2006-11-21,883.833,253.435
2006-11-22,889.4,256.623
2006-11-24,887.81,255.001
2006-11-27,868.125,243.512
2006-11-28,870.312,244.226
2006-11-29,876.277,248.212
2006-11-30,875.681,247.442
2006-12-01,868.125,244.144
2006-12-04,880.055,250.274
2006-12-05,883.236,251.483
2006-12-06,880.055,249.641
2006-12-07,868.92,243.539
2006-12-08,872.897,246.013
2006-12-11,876.078,247.937
2006-12-12,870.908,244.694
2006-12-13,872.499,245.326
2006-12-14,882.242,250.548
2006-12-15,884.521,252.198
2006-12-18,875.762,246.425
2006-12-19,872.975,245.463
2006-12-20,869.789,243.77
2006-12-21,863.618,240.405
2006-12-22,854.659,235.869
2006-12-26,858.243,237.039
2006-12-27,862.622,239.351
2006-12-28,858.442,237.332
2006-12-29,859.238,237.156
2007-01-03,860.831,237.917
2007-01-04,877.155,246.462
2007-01-05,872.975,242.892
2007-01-08,873.572,244.414
2007-01-09,877.952,247.399
2007-01-10,888.304,253.866
2007-01-11,897.462,258.109
2007-01-12,902.041,260.743
2007-01-16,901.443,260.743
2007-01-17,894.077,256.002
2007-01-18,877.554,245.526
2007-01-19,879.345,246.257
2007-01-22,869.789,241.429
2007-01-23,867.599,240.288
2007-01-24,881.933,247.574
2007-01-25,870.586,240.844
2007-01-26,867.4,239.175
2007-01-29,868.197,240.58
2007-01-30,868.595,241.224
2007-01-31,877.354,244.209
2007-02-01,876.359,244.502
2007-02-02,879.146,246.609
2007-02-05,878.35,245.76
2007-02-06,876.956,244.648
2007-02-07,885.119,250.471
2007-02-08,884.92,250.559
2007-02-09,872.776,242.746
2007-02-12,869.988,240.814
2007-02-13,873.174,243.448
2007-02-14,887.906,250.735
2007-02-15,893.082,253.398
2007-02-16,890.096,252.549
2007-02-20,896.865,255.476
2007-02-21,899.652,257.144
2007-02-22,904.231,259.865
2007-02-23,901.045,257.524
2007-02-26,896.665,255.183
2007-02-27,859.835,230.601
2007-02-28,862.622,235.547
2007-03-01,858.641,233.089
2007-03-02,845.7,224.924
2007-03-05,839.131,221.822
2007-03-06,853.066,229.928
2007-03-07,849.682,227.821
2007-03-08,855.455,232.064
2007-03-09,854.659,231.245
2007-03-12,860.233,233.381
2007-03-13,843.511,224.543
2007-03-14,855.854,230.777
2007-03-15,853.863,230.133
2007-03-16,853.205,229.284
2007-03-19,861.971,233.908
2007-03-20,868.146,237.039
2007-03-21,884.879,245.818
2007-03-22,881.692,244.355
2007-03-23,878.903,242.219
2007-03-26,882.489,244.092
2007-03-27,876.314,241.493
2007-03-28,866.951,236.489
2007-03-29,867.947,236.196
2007-03-30,867.15,237.015
2007-04-02,868.345,236.137
2007-04-03,879.7,242.957
2007-04-04,883.286,244.391
2007-04-05,887.668,247.025
2007-04-09,885.477,245.825
2007-04-10,890.059,247.728
2007-04-11,880.696,242.664
2007-04-12,887.668,246.879
2007-04-13,889.461,247.757
2007-04-16,897.629,252.089
2007-04-17,899.621,253.113
2007-04-18,896.633,252.147
2007-04-19,899.422,252.352
2007-04-20,904.402,256.157
2007-04-23,905.796,256.274
2007-04-24,910.378,258.323
2007-04-25,922.53,265.757
2007-04-26,927.311,268.537
2007-04-27,927.709,268.83
2007-04-30,915.557,261.806
2007-05-01,917.549,263.415
2007-05-02,924.721,266.781
2007-05-03,928.107,268.83
2007-05-04,928.904,269.474
2007-05-07,928.904,268.859
2007-05-08,930.896,268.713
2007-05-09,932.888,270.703
2007-05-10,920.139,263.913
2007-05-11,931.892,270.118
2007-05-14,925.518,266.225
2007-05-15,918.346,262.391
2007-05-16,927.311,267.279
2007-05-17,922.928,264.411
2007-05-18,930.498,268.742
2007-05-21,936.474,272.489
2007-05-22,937.271,272.811
2007-05-23,932.888,270.411
2007-05-24,919.541,262.772
2007-05-25,925.319,265.581
2007-05-29,932.49,268.976
2007-05-30,940.06,273.747
2007-05-31,944.442,277.201
2007-06-01,945.04,276.967
2007-06-04,947.831,277.757
2007-06-05,947.829,278.137
2007-06-06,937.669,271.786
2007-06-07,923.125,262.713
2007-06-08,934.482,269.767
2007-06-11,932.689,268.684
2007-06-12,927.111,265.054
2007-06-13,937.271,270.294
2007-06-14,943.446,275.064
2007-06-15,951.561,280.245
2007-06-18,952.358,279.952
2007-06-19,952.159,279.601
2007-06-20,943.187,274.596
2007-06-21,951.76,279.747
2007-06-22,942.789,274.274
2007-06-25,938.801,272.928
2007-06-26,933.418,269.855
2007-06-27,947.773,276.001
2007-06-28,947.374,276.703
2007-06-29,948.969,278.43
2007-07-02,957.143,281.972
2007-07-03,963.124,285.22
2007-07-05,970.101,288.469
2007-07-06,974.089,291.952
2007-07-09,974.687,292.216
2007-07-10,966.513,287.445
2007-07-11,973.092,292.303
2007-07-12,988.044,299.855
2007-07-13,994.822,304.274
2007-07-16,993.826,303.952
2007-07-17,1001.4,306.996
2007-07-18,1000.21,307.318
2007-07-19,1003.2,308.664
2007-07-20,997.813,306.06
2007-07-23,998.211,305.562
2007-07-24,983.459,297.25
2007-07-25,984.854,297.659
2007-07-26,976.481,291.074
2007-07-27,956.744,279.484
2007-07-30,967.908,287.357
2007-07-31,947.573,275.123
2007-08-01,954.95,271.962
2007-08-02,963.722,283.962
2007-08-03,945.38,272.694
2007-08-06,956.345,278.05
2007-08-07,963.124,281.474
2007-08-08,973.69,289.728
2007-08-09,951.162,275.269
2007-08-10,942.589,270.089
2007-08-13,948.969,273.601
2007-08-14,932.82,264.879
2007-08-15,915.077,255.074
2007-08-16,906.106,249.22
2007-08-17,923.251,258.089
2007-08-20,927.637,259.757
2007-08-21,937.406,267.074
2007-08-22,950.165,273.308
2007-08-23,947.573,272.196
2007-08-24,960.931,280.245
2007-08-27,954.551,274.742
2007-08-28,931.824,262.976
2007-08-29,958.538,277.435
2007-08-30,963.522,281.708
2007-08-31,974.288,286.625
2007-09-04,990.436,296.635
2007-09-05,980.468,290.518
2007-09-06,979.671,289.757
2007-09-07,961.529,280.186
2007-09-10,960.931,279.747
2007-09-11,975.484,286.83
2007-09-12,975.683,288.089
2007-09-13,980.468,289.347
2007-09-14,981.266,289.318
2007-09-17,973.092,284.459
2007-09-18,997.613,299.299
2007-09-19,1000.21,301.084
2007-09-20,997.414,299.152
2007-09-21,1004.52,302.781
2007-09-24,1009.1,306.06
2007-09-25,1018.68,311.386
2007-09-26,1023.66,314.167
2007-09-27,1028.85,318.294
2007-09-28,1025.46,316.391
2007-10-01,1037.23,321.806
2007-10-02,1037.43,322.538
2007-10-03,1030.25,317.562
2007-10-04,1032.64,319.025
2007-10-05,1053.54,333.777
2007-10-08,1060.17,336.294
2007-10-09,1064.76,340.099
2007-10-10,1067.35,342.001
2007-10-11,1050.39,332.05
2007-10-12,1067.75,341.65
2007-10-15,1059.57,335.943
2007-10-16,1054.58,334.391
2007-10-17,1068.14,341.533
2007-10-18,1072.73,343.845
2007-10-19,1046.0,327.396
2007-10-22,1058.57,334.304
2007-10-23,1080.71,345.894
2007-10-24,1072.53,343.757
2007-10-25,1058.17,339.865
2007-10-26,1075.72,344.138
2007-10-29,1080.31,347.504
2007-10-30,1082.31,347.562
2007-10-31,1097.67,358.45
2007-11-01,1077.12,347.708
2007-11-02,1085.5,351.396
2007-11-05,1078.52,347.123
2007-11-06,1090.68,352.83
2007-11-07,1064.16,336.323
2007-11-08,1031.84,312.294
2007-11-09,997.334,294.528
2007-11-12,972.002,279.074
2007-11-13,1012.09,302.752
2007-11-14,999.129,297.572
2007-11-15,993.744,291.952
2007-11-16,1002.92,297.689
2007-11-19,991.35,290.108
2007-11-20,995.34,292.274
2007-11-21,983.571,283.318
2007-11-23,994.143,290.225
2007-11-26,976.989,282.44
2007-11-27,996.536,291.162
2007-11-28,1026.86,308.635
2007-11-29,1031.24,310.977
2007-11-30,1023.46,308.664
2007-12-03,1014.89,303.016
2007-12-04,1010.7,300.118
2007-12-05,1028.65,310.742
2007-12-06,1043.61,317.679
2007-12-07,1043.81,319.816
2007-12-10,1048.0,321.689
2007-12-11,1023.66,307.816
2007-12-12,1032.84,311.942
2007-12-13,1027.25,307.347
2007-12-14,1016.68,302.635
2007-12-17,991.949,288.762
2007-12-18,995.14,289.289
2007-12-19,994.941,291.952
2007-12-20,1015.29,304.035
2007-12-21,1035.32,314.583
